## Tables for ANOVA
## Cross1: Col_x_Ler
##         Col0 input in column 1, output in column 1
##         Input 1 Col0_x_Ler_BR2_TGACCA_L007_PAIR_001.Columns_Col_Ler
##         Input 2 ColxLerBR3_S3_L008_PAIR_001.Columns_Col_Ler
##         Input 3 ColxLerBR4_S4_L008_PAIR_001.Columns_Col_Ler
## Cross2: rdr6_x_Ler
##         Col0 input in column 1, output in column 1
##         Input 1 rdr6_x_Ler_BR3_CGATGT_L006_PAIR_001.Columns_Col_Ler
##         Input 2 rdr6_x_Ler_BR2_CAGATC_L003_PAIR_001.Columns_Col_Ler
##         Input 3 rdr6_x_Ler_BR1_GCCAAT_L003_PAIR_001.Columns_Col_Ler
## Output matrix has 1011 rows.
## Columns are: cross1/replicate1/mat, cross1/replicate1/pat, cross1,replicate2/mat, ...
AT1G21790.1,1188.00,98.00,1141.50,21.00,1333.00,75.00,1133.50,30.00,1032.00,49.00,1056.50,58.00
AT1G22015.1,2253.50,2022.00,2754.00,2104.00,2999.00,2390.00,1952.00,1226.00,1580.00,1396.00,1750.50,1681.00
AT1G22040.1,2606.00,156.00,2816.00,119.00,3272.50,87.00,2779.00,101.00,2552.00,61.00,2636.00,129.00
AT1G22180.1,1940.50,72.00,1947.50,117.00,2797.50,87.00,1719.50,77.00,1666.00,54.00,1801.50,54.00
AT1G22420.1,927.50,2083.00,939.00,1935.00,921.00,2288.00,158.00,288.00,88.50,295.00,165.50,347.00
AT1G22460.1,847.00,268.00,807.50,277.00,736.00,261.00,777.50,375.00,607.50,267.00,854.00,341.00
AT1G22590.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G23320.1,0.00,115.00,0.50,128.00,0.00,89.00,3.00,133.00,13.00,139.00,2.00,153.00
AT1G23360.1,1016.00,97.00,1084.50,78.00,949.50,92.00,989.50,73.00,1180.00,63.00,1310.00,81.00
AT1G23980.1,682.50,42.00,859.00,34.00,994.00,15.00,768.00,12.00,645.50,9.00,909.00,7.00
AT1G24030.1,6459.00,9.00,7739.50,19.00,8055.00,1.00,4183.50,4.00,3884.50,14.00,4138.50,12.00
AT1G26797.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G26799.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G27000.1,5639.00,378.00,5133.00,320.00,5826.50,479.00,5417.50,229.00,5438.00,233.00,5448.50,264.00
AT1G27080.1,18136.00,152.00,15311.00,46.00,17796.50,171.00,16407.50,59.00,12825.00,36.00,15316.00,34.00
AT1G27130.1,13057.50,309.00,10925.50,232.00,11902.50,194.00,15718.50,246.00,17228.00,241.00,17624.00,237.00
AT1G27560.1,2300.50,1337.00,2283.00,1441.00,2707.50,1814.00,2935.50,1199.00,3111.00,1122.00,3506.00,1274.00
AT1G27600.1,6285.00,184.00,6113.50,172.00,6989.50,338.00,7275.00,107.00,5852.50,143.00,6919.50,128.00
AT1G27730.1,475.00,0.00,297.50,0.00,510.00,11.00,106.00,23.00,348.00,5.00,104.50,1.00
AT1G28050.1,5772.50,129.00,5540.00,86.00,7287.00,79.00,2851.00,15.00,2589.50,90.00,2947.50,74.00
AT1G28450.1,104.00,1327.00,107.50,688.00,56.50,1019.00,66.50,1368.00,46.00,1592.00,59.50,1620.00
AT1G28460.1,43.50,77.00,29.50,154.00,22.00,114.00,67.00,192.00,31.00,201.00,22.00,220.00
AT1G29080.1,914.50,1664.00,919.50,1227.00,954.50,1639.00,1065.00,1662.00,845.50,1198.00,950.00,1711.00
AT1G29730.1,709.00,164.00,704.00,242.00,713.00,254.00,770.00,237.00,699.00,297.00,808.50,351.00
AT1G29960.1,987.00,91.00,904.00,61.00,837.00,26.00,930.00,99.00,895.00,66.00,1172.00,60.00
AT1G30090.1,3614.00,118.00,3761.00,127.00,3776.00,206.00,3256.00,106.00,2946.00,72.00,2996.50,70.00
AT1G30530.1,119149.00,808.00,96709.00,370.00,107891.50,480.00,119288.50,303.00,106628.00,429.00,129809.50,430.00
AT1G31140.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G31290.1,34779.50,863.00,30735.00,539.00,33428.50,480.00,26544.50,485.00,22919.50,373.00,24533.50,357.00
AT1G31630.1,2.00,45.00,4.00,57.00,53.00,210.00,9.00,2.00,0.00,9.00,1.50,23.00
AT1G31640.1,4.50,22.00,11.00,49.00,17.00,54.00,9.50,3.00,0.00,7.00,14.00,1.00
AT1G32120.1,9120.50,1568.00,8600.00,1847.00,10255.50,2422.00,10267.50,1761.00,8801.50,1418.00,9481.00,1651.00
AT1G32375.1,30.50,0.00,47.00,7.00,68.50,2.00,37.50,0.00,32.00,4.00,48.00,6.00
AT1G32583.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G32900.1,7158.00,34.00,6563.50,22.00,7049.00,46.00,9127.50,25.00,9554.00,33.00,11775.00,36.00
AT1G34060.1,1416.00,25.00,1600.00,4.00,1631.50,1.00,640.00,3.00,774.50,27.00,812.00,2.00
AT1G34170.1,1759.00,937.00,1993.50,810.00,2143.00,1069.00,799.00,350.00,662.50,365.00,896.50,340.00
AT1G34180.1,578.00,391.00,555.00,387.00,917.50,436.00,386.00,194.00,456.00,165.00,533.50,189.00
AT1G34390.1,1499.50,2401.00,1673.50,2623.00,1975.00,3272.00,290.00,371.00,409.50,444.00,360.00,453.00
AT1G34410.1,649.50,110.00,790.00,122.00,965.00,75.00,38.50,1.00,57.50,6.00,123.00,11.00
AT1G34650.1,67.50,1655.00,79.00,1486.00,79.50,1950.00,217.50,1401.00,103.00,1563.00,113.00,1803.00
AT1G34720.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G35183.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,8.00
AT1G35240.1,1583.00,58.00,1799.50,99.00,1654.00,69.00,329.00,22.00,363.00,31.00,555.00,30.00
AT1G35520.1,936.00,204.00,1255.00,350.00,1315.50,413.00,63.00,24.00,131.50,19.00,118.50,54.00
AT1G35580.1,12633.00,515.00,11435.00,474.00,14736.00,900.00,11312.00,404.00,11445.00,372.00,11596.50,380.00
AT1G35630.1,4.00,3.00,6.00,14.00,10.50,0.00,11.00,5.00,0.50,11.00,0.50,13.00
AT1G35660.1,7892.50,912.00,7695.00,1079.00,8746.00,1380.00,8156.50,449.00,6773.00,458.00,7146.00,521.00
AT1G36070.1,4162.50,97.00,4016.50,67.00,4482.50,117.00,4046.00,130.00,3881.00,67.00,4126.00,94.00
AT1G42470.1,5652.00,245.00,6277.50,203.00,7307.00,216.00,6723.50,216.00,6319.50,189.00,6642.00,277.00
AT1G43020.1,118.50,3.00,158.50,0.00,182.00,0.00,133.00,0.00,92.00,4.00,147.00,2.00
AT1G43640.1,10683.00,8.00,10965.00,1.00,12205.00,2.00,10551.50,1.00,9179.50,5.00,10730.00,3.00
AT1G43770.1,2910.00,137.00,2992.50,65.00,2813.50,117.00,2893.50,42.00,3083.00,59.00,3689.00,73.00
AT1G43800.1,7302.00,236.00,3803.50,71.00,3365.00,87.00,6121.50,51.00,3986.00,65.00,3112.50,60.00
AT1G44090.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G44130.1,6973.00,5538.00,6998.00,5533.00,7491.50,5999.00,3970.00,3446.00,3511.50,3303.00,4081.50,3814.00
AT1G44750.1,4770.50,252.00,4843.50,269.00,5098.00,273.00,4673.00,169.00,4791.00,129.00,5893.00,231.00
AT1G44760.1,9965.00,74.00,7950.00,81.00,9039.50,121.00,11355.50,34.00,10920.50,21.00,13624.00,21.00
AT1G45191.1,527.00,149.00,574.50,124.00,510.00,105.00,435.00,111.00,553.50,196.00,748.00,188.00
AT1G45248.1,338.00,16.00,278.50,23.00,386.50,2.00,322.00,14.00,200.50,6.00,284.00,0.00
AT1G46408.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G47490.1,571.00,543.00,503.50,822.00,475.50,717.00,615.00,715.00,703.50,441.00,604.00,584.00
AT1G47760.1,228.50,208.00,318.00,356.00,297.50,371.00,47.00,49.00,75.50,36.00,92.00,88.00
AT1G48150.1,5.50,22.00,5.50,6.00,0.00,0.00,0.00,50.00,19.50,18.00,12.00,31.00
AT1G48390.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G48410.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G48910.1,89.00,819.00,34.50,732.00,130.50,759.00,174.00,616.00,93.00,634.00,127.50,840.00
AT1G49290.1,144.50,2816.00,75.50,2485.00,99.00,3188.00,153.00,3540.00,68.00,3435.00,53.50,3388.00
AT1G49490.1,1209.50,962.00,851.00,1025.00,1578.00,1088.00,790.00,1229.00,731.00,1096.00,739.50,1334.00
AT1G49600.1,1255.00,786.00,967.00,945.00,1129.00,1177.00,2155.00,708.00,2421.50,491.00,2089.00,583.00
AT1G49640.1,6948.00,88.00,7029.50,82.00,7593.00,34.00,7234.50,64.00,5857.00,54.00,7811.00,67.00
AT1G49860.1,3572.50,71.00,3302.00,24.00,3681.00,32.00,3336.50,20.00,3336.00,19.00,3807.50,28.00
AT1G51000.1,659.00,6.00,644.50,5.00,793.50,4.00,451.50,2.00,485.00,2.00,562.50,4.00
AT1G51010.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G51300.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G51355.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G51840.1,0.00,1.00,0.00,0.00,6.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00
AT1G52460.1,79.00,0.00,63.00,0.00,32.00,1.00,117.00,1.00,127.50,1.00,104.00,0.00
AT1G53520.1,1112.50,437.00,1061.00,447.00,1317.50,593.00,1093.50,395.00,1168.00,329.00,1176.50,421.00
AT1G54170.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G54280.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G54570.1,379.00,74.00,267.50,25.00,331.00,34.00,237.50,16.00,312.50,37.00,305.50,10.00
AT1G54575.1,4244.00,17.00,4414.50,27.00,5545.50,27.00,3038.00,19.00,2651.00,8.00,3025.00,7.00
