,logFC,AveExpr,t,P.Value,adj.P.Val,B,x
551,1.18770420385756,9.44526029079924,6.12608905012732,0.00250351626633937,0.0131577008605858,-1.92493780905106,2.27789966819633
640,2.80560644721515,8.78907591356258,6.11960568647332,0.00251429333276541,0.0131577008605858,-1.93005283287973,6.99152148595576
530,0.963098558743702,9.86370427229908,5.97241803055137,0.00277466052675888,0.0144453975877653,-2.04736152225898,1.94949243820445
184,1.47259059020923,9.25692970511954,5.94545688420779,0.00282580196546813,0.0146362050519118,-2.06909882628389,2.77519777720231
742,0.79742747198026,8.62450254804535,5.90425065052791,0.00290617040070977,0.0149201208089677,-2.10247254310035,1.73799926493211
915,0.522678806521334,10.921204263688,5.90223977772473,0.00291016217759074,0.0149201208089677,-2.10410589382065,1.43662029990499
615,0.989850405311852,11.058712077362,5.84803841908007,0.00302028037992987,0.0154064807259049,-2.14829759684159,1.98597905177265
934,1.16053962605334,15.190595499993,5.81736876512062,0.00308480669167958,0.0156565565758612,-2.17344611604792,2.23541025326143
916,1.16071517468634,14.9369292974807,5.80976881483582,0.00310105136774296,0.0156603094071019,-2.17969398603372,2.23568227685564
892,1.29302951398904,9.37514198568261,5.79348134440695,0.00313621253701731,0.0157590779223258,-2.19310537373037,2.45042079287378
62,1.32630721335717,10.3296535767532,5.77749557429971,0.00317118868952265,0.0158559434476132,-2.20629700964512,2.50759996257949
944,1.27768616579771,15.6847968438817,5.73372180678264,0.00326938675436813,0.0162664070044917,-2.24256577076871,2.42449817168491
941,0.87120610745443,12.911073396457,5.72103883071059,0.00329851751104791,0.0163308955203842,-2.25311446213832,1.8291914837528
769,1.13589483205859,13.0568118746084,5.71291548974957,0.00331733915054978,0.0163439636197818,-2.25988034540295,2.19754823494421
277,1.36974937174689,13.2546336169403,5.62977559737642,0.00351757265304573,0.0172463513571659,-2.32955818203674,2.58425667934816
37,1.71902883315331,12.7886193396193,5.61914807656476,0.00354419975983817,0.017292955349935,-2.33852190898267,3.29214717605625
226,1.6457470805007,16.3629893543155,5.60217449331899,0.00358722976530302,0.0174187599180579,-2.35286520161505,3.12909851522801
684,1.19993190950645,15.3644064402384,5.53749672617589,0.00375704035595038,0.0181560323421526,-2.40782669889629,2.29728828293223
9,1.36390750321042,13.2625840445514,5.52644111071438,0.00378702221506746,0.0182137735105626,-2.41727037109445,2.57381347212146
3,1.81359224450943,11.9679663540154,5.51354939813059,0.00382234617653983,0.018296538570167,-2.42830057043804,3.51516459620484
642,1.85251652902378,8.43944087051522,5.40062952348164,0.00414923294707031,0.0197675720591557,-2.52575781306458,3.61129563289275
371,1.1329615265946,9.60950396602724,5.38950081135036,0.00418322736301093,0.0197797633864759,-2.5354452614397,2.19308469180009
452,2.0697132594393,6.49657332164062,5.38698456720857,0.00419095976703548,0.0197797633864759,-2.53763770341817,4.19803227833385
359,0.96273904908252,16.3430187931421,5.37943500715623,0.00421426237335672,0.019797232544606,-2.54422034540278,1.94900669864867
26,1.99743303008925,8.25591904610481,5.32675110172515,0.0043812650722677,0.0204864709397703,-2.59034939542054,3.99288917615273
748,0.805963555351306,13.8464650263423,5.31733605153,0.00441193758165756,0.0205348246888209,-2.59862870793323,1.74831307524256
694,1.25784328348876,9.66393493825805,5.29778639478088,0.00447645100209873,0.0207050630364231,-2.6158548249382,2.39137980957431
962,1.01951432974786,11.4646166766898,5.2938689904704,0.00448951366829371,0.0207050630364231,-2.61931228484895,2.02723639387887
951,1.54260114945529,8.8068143659697,5.26738035164661,0.0045790466160795,0.0210219867374559,-2.64274056087556,2.91319272898769
491,1.63845563807784,8.45722164920135,5.23637528542832,0.00468657155566166,0.0213529822827597,-2.67027386900558,3.11332381412437
778,0.566823290529847,12.211635730666,5.23435774219325,0.0046936723494449,0.0213529822827597,-2.67206964299271,1.48125835398497
804,1.56766210009927,9.69344229821949,5.22844138977094,0.00471456935550042,0.0213529822827597,-2.67733859374498,2.96423967078786
14,-1.05208615238045,10.1832653598094,-5.20740935898047,0.00478976172277973,0.0215966934821765,-2.69610458068046,-2.07352602160206
362,1.17661639140895,13.9360136299911,5.19770061977105,0.00482495475610916,0.02165868579409,-2.70478596375794,2.26046000431736
651,0.934110917847649,13.9964698660597,5.15321774724215,0.0049902040822987,0.0221617940814943,-2.7447134536237,1.9107127672886
112,1.31197639835128,12.9827685834393,5.15262868054304,0.00499243735334522,0.0221617940814943,-2.74524387218867,2.48281436532627
989,1.28372107150976,7.66642291217564,5.14988355179748,0.0050028604461195,0.0221617940814943,-2.74771627271578,2.4346612780683
169,-2.39504640530176,4.91817272258435,-5.09639972962086,0.00521121595283485,0.0229075063622418,-2.79607771176425,-5.2599402277801
174,0.832928257605081,5.5316403780977,5.09506146088926,0.00521656085476794,0.0229075063622418,-2.79729249124994,1.78129721859372
197,0.691167369817601,13.659015339283,5.08865804877299,0.00524222613051474,0.0229205558087441,-2.80310820276179,1.61458944976229
234,1.40752669889658,6.96051138827708,5.0710969139912,0.00531338941621806,0.0231315659930183,-2.81908460085393,2.65281983491165
851,0.745703001958763,13.2674529106668,5.05668242467259,0.00537266422743108,0.0231976214893187,-2.83222796715498,1.67679114349816
520,1.00208388436614,12.7599725278098,5.05623940903174,0.00537449844405997,0.0231976214893187,-2.83263234043896,2.00289096455372
350,1.22230209600946,14.0540610450453,5.02681704710238,0.00549800563976798,0.0236297263666624,-2.8595451345954,2.33318725083302
1008,2.52115069613507,9.66039043042211,5.01760934287888,0.00553735067884907,0.0236979838374473,-2.86799052898764,5.74039771806589
887,1.48926044042566,8.92781830870219,5.01203834275047,0.00556131894130227,0.0237001355726384,-2.87310565573277,2.80745021720579
834,3.06192995420001,5.39607112147932,4.99272116046434,0.00564539156795704,0.0239573339648597,-2.89087343946484,8.35088995671434
762,0.682855373658247,12.7578647670191,4.95897719099514,0.00579591794936721,0.0244932097441878,-2.92202794318013,1.60531384092126
579,1.07836240098375,16.6308727955598,4.93939946780932,0.00588544398766135,0.02472556155333,-2.94017187437333,2.11163780620611
196,1.21543484401484,17.1075771115959,4.93627976149248,0.00589986171718073,0.02472556155333,-2.94306777422423,2.32210763185589
78,0.558542611679018,10.5948738028783,4.92957413449476,0.00593099449791056,0.0247533241441722,-2.94929669362762,1.47278068519587
790,1.44447819646996,7.58787146281816,4.88109513156791,0.00616198996309789,0.0255447183992433,-2.99450662307019,2.72164367278786
263,1.36934787767443,15.6889946781217,4.8742073386987,0.00619567192781194,0.0255447183992433,-3.00095532842978,2.58353759503142
904,-3.08683467944882,7.27583528849691,-4.87404037854557,0.00619649109684615,0.0255447183992433,-3.00111172374207,-8.49629983265666
92,0.926051182717776,14.6569545891743,4.85768890394039,0.00627734611474205,0.0257728438044287,-3.01644657604863,1.90006817357004
426,2.74473331833428,6.70710511636733,4.83256459344571,0.00640404306679784,0.0261865728642341,-3.04007868308908,6.7026579788777
761,0.920665692649223,15.3367328006441,4.81155237455052,0.00651234636208423,0.0265220557488108,-3.05990816013585,1.89298856039116
939,0.771521309799761,12.8979276153464,4.80062763761404,0.00656951657276998,0.0266474367007939,-3.07024152110235,1.70706892461863
450,1.25594265623267,9.73546991556825,4.79230788145863,0.00661345552237546,0.0267183603103968,-3.0781217508508,2.38823144562567
53,1.03479310685729,10.9772298713325,4.7811981706377,0.00667267544113104,0.0267654941320691,-3.08865918110863,2.048819809078
442,0.908484944627272,15.0703859544861,4.7801820449219,0.00667812328839744,0.0267654941320691,-3.08962380094325,1.87707324261687
414,0.87098732028389,15.5050133056587,4.75480344175396,0.00681591998065646,0.027177095736595,-3.11376158094116,1.82891410476867
432,1.06852702811595,13.9809726775871,4.75140354739269,0.00683463595751993,0.027177095736595,-3.11700191544096,2.09729096838868
377,0.815724438861009,12.4345299898128,4.74294446164549,0.00688146795946605,0.0272560103492577,-3.12507086230763,1.76018179250225
652,0.763028995719759,14.9102800519686,4.72889965382101,0.00696006973665252,0.0273779975416855,-3.13848953842975,1.69704991088964
964,1.84851676037033,11.7228720854651,4.7249083941506,0.00698260129410286,0.0273779975416855,-3.14230779659153,3.60129744048587
236,1.40360899308551,9.63375024806156,4.72198730561376,0.00699914646375748,0.0273779975416855,-3.14510365560558,2.64562575102096
104,0.930914806256933,17.4681658893045,4.71819524726631,0.00702069441910548,0.0273779975416855,-3.14873489286515,1.90648450590509
713,0.943912024071734,11.6994117562496,4.65551844264997,0.00738853170635862,0.0287016039362393,-3.20904073587966,1.92373759572116
617,1.13253831905914,15.522258306849,4.61661186110491,0.00762839257111123,0.0294772051020251,-3.24674961830044,2.19244145547967
334,0.922447120490872,13.3171265620528,4.61372401543378,0.00764656211557482,0.0294772051020251,-3.24955698399626,1.89532745065082
799,-1.21058573457085,10.6520552350733,-4.59962397824324,0.0077360170394687,0.0296572758250397,-3.26328083518997,-2.31431578992196
482,1.37273024640231,12.6669377250912,4.59712497197979,0.00775200080971335,0.0296572758250397,-3.26571607428289,2.5896017514331
620,2.88817024234022,5.63666579556085,4.59207300310325,0.00778443334519863,0.0296689723722665,-3.27064180746423,7.40330898541678
895,1.21767991392397,15.1456270830689,4.57469174639984,0.00789725413522448,0.0299858145735967,-3.2876161356565,2.32572402499303
470,0.698956935371623,12.5782493326706,4.5589385822067,0.0080011867982806,0.0301835446174339,-3.30303722352614,1.62333070460568
754,0.985841754460049,12.1866414563065,4.55774928328687,0.00800909896779434,0.0301835446174339,-3.30420287280299,1.98046849941256
516,1.29746547144808,11.3328481210454,4.50554950048438,0.00836569860721898,0.0314102438412311,-3.3555618814522,2.45796687194884
123,0.909617008531864,14.4183509017921,4.49760896413782,0.00842157917799644,0.0315029443325052,-3.36340842889808,1.87854673544726
669,0.756924540699217,16.825303488501,4.48794987352583,0.00849015149948611,0.0316422620460552,-3.37296530387431,1.68988437812229
288,2.05372966338499,8.07422515493151,4.47780391242621,0.0085628941286241,0.0317280896476194,-3.38301823828751,4.15177903620758
557,1.41962804769363,13.52383119405,4.47598563643769,0.00857600838990109,0.0317280896476194,-3.38482139714186,2.67516531570686
250,0.695994035396282,13.6835288731136,4.46886864911665,0.00862756889086576,0.0318023524809285,-3.3918837620283,1.62000024960505
667,0.745731387416443,16.20632379949,4.46292156938019,0.00867093566170018,0.0318459818847898,-3.39779075921099,1.67682413519144
950,1.09394073554895,11.4331718616328,4.43906253275342,0.00884753539471389,0.032260539883253,-3.42153998578177,2.1345629885933
927,1.3255092904044,15.3816519570088,4.43494144482959,0.00887846869724697,0.032260539883253,-3.42565038973565,2.50621344755537
744,0.934692998662245,11.1192709332258,4.43478656316865,0.00887963375004389,0.032260539883253,-3.42580491750549,1.91148383366707
