"cross1","cross2","gene","unused","Df1","Df2","Df3","residualDF","Sum Sq1","Sum Sq2","Sum Sq3","residualSS","Mean Sq1","Mean Sq2","Mean Sq3","residualMS","F value1","F value2","F value3","residualF","Pr(>F)1","Pr(>F)2","Pr(>F)3","residualPr"
Ler_x_Col,Ler_x_nrpE1,AT1G20880.1,"1",1,1,1,8,775.538408333332,1034440.88020833,472.131074999993,5261.17440000001,775.538408333332,1034440.88020833,472.131074999993,657.646800000001,1.17926280236341,1572.94292347858,0.717909788354467,NA,0.309141309348515,1.79652892588712e-10,0.421453576060368,NA
Ler_x_Col,Ler_x_nrpE1,AT1G20910.1,"1",1,1,1,8,1012.55440833333,499.359008333334,140.425208333333,643.595866666667,1012.55440833333,499.359008333334,140.425208333333,80.4494833333334,12.5862139367375,6.20711268292795,1.74550789532727,NA,0.00753462463551175,0.0374399992817373,0.222977887607299,NA
Ler_x_Col,Ler_x_nrpE1,AT1G20940.1,"1",1,1,1,8,500.650008333331,67952.2550083333,125.647408333333,1184.4644,500.650008333331,67952.2550083333,125.647408333333,148.05805,3.38144402370105,458.956841646458,0.848636114911234,NA,0.103224037654282,2.37196955630725e-08,0.383877477532407,NA
Ler_x_Col,Ler_x_nrpE1,AT1G21440.1,"1",1,1,1,8,79435.0224083334,8005538.48520833,76526.6436750004,170869.4184,79435.0224083334,8005538.48520833,76526.6436750004,21358.6773,3.71909839231165,374.814337646663,3.58292990713429,NA,0.0899290795987661,5.25930329723505e-08,0.0950063072025364,NA
Ler_x_Col,Ler_x_nrpE1,AT1G21670.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G21790.1,"1",1,1,1,8,307.142008333333,54065.160075,531.069074999998,987.003466666673,307.142008333333,54065.160075,531.069074999998,123.375433333334,2.48949081705352,438.216576949541,4.30449612740296,NA,0.153260795189186,2.84559905370977e-08,0.0717003263423203,NA
Ler_x_Col,Ler_x_nrpE1,AT1G22015.1,"1",1,1,1,8,18500.0974083333,2195.919075,639.042074999997,11319.1477333333,18500.0974083333,2195.919075,639.042074999997,1414.89346666667,13.0752582043633,1.5520031201878,0.451653845363715,NA,0.00682231457142558,0.248086913968812,0.520483202755777,NA
Ler_x_Col,Ler_x_nrpE1,AT1G22040.1,"1",1,1,1,8,1900.83840833334,449016.796875,143.72840833333,2876.66353333332,1900.83840833334,449016.796875,143.72840833333,359.582941666666,5.28623076368127,1248.71551134714,0.399708639311834,NA,0.0505354420425938,4.50172515623446e-10,0.544880366393971,NA
Ler_x_Col,Ler_x_nrpE1,AT1G22180.1,"1",1,1,1,8,375.200833333334,71759.1468000001,138.448133333332,2191.39919999999,375.200833333334,71759.1468000001,138.448133333332,273.924899999999,1.369721530731,261.96649811682,0.505423688512189,NA,0.275540669303672,2.13398984136167e-07,0.497327321619491,NA
Ler_x_Col,Ler_x_nrpE1,AT1G22420.1,"1",1,1,1,8,3627.90187499999,274957.550208334,3543.54700833334,5362.786,3627.90187499999,274957.550208334,3543.54700833334,670.34825,5.41196590727281,410.171206098223,5.28612852846761,NA,0.0484358932481603,3.69106957274301e-08,0.0505371959514551,NA
Ler_x_Col,Ler_x_nrpE1,AT1G22460.1,"1",1,1,1,8,218.624033333334,380.588033333334,36.1921333333332,385.845266666668,218.624033333334,380.588033333334,36.1921333333332,48.2306583333335,4.53288511681452,7.89099810131141,0.75039683437868,NA,0.0658896001833115,0.0228750409890687,0.411576068084881,NA
Ler_x_Col,Ler_x_nrpE1,AT1G22590.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G23320.1,"1",1,1,1,8,132.867075,392.964075,42.6010083333334,232.036333333333,132.867075,392.964075,42.6010083333334,29.0045416666667,4.58090586388052,13.5483635465135,1.46877026442698,NA,0.0647456332474051,0.00621189588523158,0.260116529687766,NA
Ler_x_Col,Ler_x_nrpE1,AT1G23360.1,"1",1,1,1,8,114.330133333333,29189.5488,262.828800000002,150.695533333333,114.330133333333,29189.5488,262.828800000002,18.8369416666667,6.06946368240067,1549.59065630346,13.9528382393993,NA,0.0390969468348925,1.90677250806566e-10,0.00574351514133203,NA
Ler_x_Col,Ler_x_nrpE1,AT1G23980.1,"1",1,1,1,8,0.00700833333333457,26308.158075,11.7810083333335,441.083199999998,0.00700833333333457,26308.158075,11.7810083333335,55.1353999999998,0.000127111317471798,477.155476789868,0.213674124670059,NA,0.991280635608222,2.03506868025041e-08,0.656214377672511,NA
Ler_x_Col,Ler_x_nrpE1,AT1G24030.1,"1",1,1,1,8,9719.09000833333,378064.350075,9322.51507499997,3434.91306666666,9719.09000833333,378064.350075,9322.51507499997,429.364133333332,22.6360081194486,880.521498477131,21.7123750012033,NA,0.00143096443909082,1.80350098918397e-09,0.00162417918789316,NA
Ler_x_Col,Ler_x_nrpE1,AT1G26797.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G26799.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G27000.1,"1",1,1,1,8,1602.44740833333,1793522.45200833,1291.06507499998,3854.35013333333,1602.44740833333,1793522.45200833,1291.06507499998,481.793766666666,3.32600278210324,3722.59372390179,2.67970481214885,NA,0.105646437936229,5.78734093126532e-12,0.140270611425289,NA
Ler_x_Col,Ler_x_nrpE1,AT1G27080.1,"1",1,1,1,8,190645.583408333,17490275.8352083,173845.576875001,13578.8025333338,190645.583408333,17490275.8352083,173845.576875001,1697.35031666673,112.319526226457,10304.4584629742,102.421742387511,NA,5.49242014061827e-06,9.90612905091168e-14,7.76229761998544e-06,NA
Ler_x_Col,Ler_x_nrpE1,AT1G27130.1,"1",1,1,1,8,1129.27400833333,5456233.31020834,981.201674999968,17123.7023333334,1129.27400833333,5456233.31020834,981.201674999968,2140.46279166667,0.527584040577514,2549.09047307468,0.458406321670257,NA,0.488328639131898,2.62287658269909e-11,0.517465287363966,NA
Ler_x_Col,Ler_x_nrpE1,AT1G27560.1,"1",1,1,1,8,1182806.62520833,2930.6250750001,3047.40940833347,432081.848199999,1182806.62520833,2930.6250750001,3047.40940833347,54010.2310249999,21.899677204877,0.0542605543317079,0.0564228175014267,NA,0.00158247426032944,0.821658039352631,0.818212127774965,NA
Ler_x_Col,Ler_x_nrpE1,AT1G27600.1,"1",1,1,1,8,337.186008333333,2132393.81340834,499.359008333349,3758.27766666661,337.186008333333,2132393.81340834,499.359008333349,469.784708333326,0.71774581494911,4539.08732145309,1.06295287921343,NA,0.421504415880478,2.62174656322073e-12,0.332701770277917,NA
Ler_x_Col,Ler_x_nrpE1,AT1G27730.1,"1",1,1,1,8,37.276875,2446.164075,4.28407500000006,301.495800000001,37.276875,2446.164075,4.28407500000006,37.6869750000001,0.989118256373717,64.9074136356127,0.113675215376136,NA,0.349083826723771,4.15091545304942e-05,0.744673312002548,NA
Ler_x_Col,Ler_x_nrpE1,AT1G28050.1,"1",1,1,1,8,209.1675,180442.6875,288.708300000003,1756.47240000001,209.1675,180442.6875,288.708300000003,219.559050000001,0.952670819080329,821.841265481881,1.31494602477102,NA,0.357627350743617,2.37093432036098e-09,0.284638595887333,NA
